profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"economy_changes/risk_seeking","fan","3","3","1.0","310.566666666673","221.279999999995","315.600000000001","397.840000000018","315.600000000001"
"economy_changes/risk_seeking","well_2","3","3","1.0","505.800000000041","372.440000000016","456.600000000029","658.840000000071","456.600000000029"
"economy_changes/risk_seeking","specialization","3","3","1.0","382.766666666684","252.119999999995","350.200000000005","526.440000000045","350.200000000005"
"economy_changes/risk_seeking","three_surges","3","3","1.0","300.566666666673","211.279999999995","305.600000000001","387.840000000018","305.600000000001"
"economy_changes/risk_seeking","well_3","3","3","1.0","827.733333333437","716.320000000078","861.60000000011","925.600000000127","861.60000000011"
"economy_changes/risk_seeking","boss","3","3","1.0","878.233333333446","811.400000000096","881.000000000112","943.960000000129","881.000000000112"
"economy_changes/risk_seeking","all_core_research","3","3","1.0","645.633333333399","495.540000000039","594.500000000051","816.180000000098","594.500000000051"
"combined_changes/cautious","first_extraction","3","3","1.0","5405.03333333372","133.559999999997","134.999999999997","12784.5200000009","134.999999999997"
"combined_changes/cautious","first_research","3","3","1.0","5430.03333333372","158.559999999997","159.999999999997","12809.5200000009","159.999999999997"
"combined_changes/cautious","passive_income","3","3","1.0","5405.03333333372","133.559999999997","134.999999999997","12784.5200000009","134.999999999997"
"combined_changes/cautious","fan","3","3","1.0","5467.03333333379","158.559999999997","159.999999999997","12898.3200000011","159.999999999997"
"combined_changes/cautious","well_2","2","3","0.66666666666667","15622.0500000008","15456.6500000004","15622.0500000008","15787.4500000011","1222.04999999998"
"combined_changes/cautious","specialization","3","3","1.0","15646.1666666673","3779.26000000008","15367.1000000001","27624.7000000014","967.100000000091"
"combined_changes/cautious","three_surges","3","3","1.0","10387.1666666666","133.559999999997","134.999999999997","24741.6399999999","134.999999999997"
"combined_changes/cautious","well_3","1","3","0.33333333333333","62012.5999999834","62012.5999999834","62012.5999999834","62012.5999999834","4412.59999999943"
"combined_changes/cautious","boss","1","3","0.33333333333333","62133.399999982","62133.399999982","62133.399999982","62133.399999982","4533.39999999978"
"combined_changes/cautious","all_core_research","3","3","1.0","20469.9666666673","15356.3800000001","15367.1000000001","27624.7000000014","967.100000000091"
"combined_changes/balanced","first_extraction","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"combined_changes/balanced","first_research","3","3","1.0","164.633333333329","159.019999999996","168.299999999995","168.779999999995","168.299999999995"
"combined_changes/balanced","passive_income","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"combined_changes/balanced","fan","3","3","1.0","164.633333333329","159.019999999996","168.299999999995","168.779999999995","168.299999999995"
"combined_changes/balanced","well_2","3","3","1.0","9316.99999999542","401.300000000019","571.70000000005","21730.819999989","571.70000000005"
"combined_changes/balanced","specialization","3","3","1.0","636.73333333339","419.580000000021","567.900000000049","881.420000000096","567.900000000049"
"combined_changes/balanced","three_surges","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"combined_changes/balanced","well_3","2","3","0.66666666666667","19555.4499999925","4811.80999999854","19555.4499999925","34299.0899999865","3355.45000000089"
"combined_changes/balanced","boss","2","3","0.66666666666667","19718.2499999917","5018.12999999825","19718.2499999917","34418.3699999852","3518.25000000097"
"combined_changes/balanced","all_core_research","3","3","1.0","4741.69999999993","727.480000000079","899.000000000107","10292.9999999997","899.000000000107"
"combined_changes/risk_seeking","first_extraction","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"combined_changes/risk_seeking","first_research","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"combined_changes/risk_seeking","passive_income","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
